iter	Passed	Remaining
0	2	224
1	4	228
2	6	219
3	8	202
4	10	200
5	12	196
6	14	193
7	16	190
8	18	190
9	21	189
10	23	186
11	25	184
12	27	185
13	30	186
14	32	186
15	35	186
16	37	183
17	39	179
18	41	178
19	43	175
20	45	172
21	48	171
22	50	168
23	52	166
24	54	163
25	56	161
26	58	158
27	60	156
28	63	154
29	65	152
30	67	149
31	69	147
32	71	145
33	73	143
34	75	140
35	78	139
36	80	136
37	82	134
38	84	132
39	86	129
40	88	127
41	89	123
42	92	122
43	94	120
44	96	117
45	98	115
46	100	113
47	102	111
48	104	109
49	107	107
50	109	105
51	111	103
52	113	100
53	115	98
54	117	95
55	119	93
56	121	91
57	123	89
58	126	88
59	129	86
60	131	83
61	133	81
62	135	79
63	137	77
64	140	75
65	142	73
66	144	71
67	146	68
68	148	66
69	150	64
70	153	62
71	155	60
72	157	58
73	159	56
74	161	53
75	163	51
76	166	49
77	168	47
78	170	45
79	172	43
80	174	40
81	176	38
82	179	36
83	181	34
84	183	32
85	186	30
86	188	28
87	190	25
88	192	23
89	194	21
90	196	19
91	198	17
92	201	15
93	203	12
94	205	10
95	207	8
96	209	6
97	211	4
98	213	2
99	215	0
